P1,231559.4,275.821,6716069.196,tes
P2,231557.759,275.862,6716069.302,tes
P3,231555.906,276.032,6716069.425,tes
P4,231554.123,276.022,6716069.249,tes
P5,231552.376,275.907,6716069.761,tes
P6,231550.594,276.214,6716070.555,tes
P7,231549.271,276.496,6716071.402,tes
P8,231547.771,276.785,6716072.161,tes
P9,231546.253,277.271,6716073.414,tes
P10,231544.806,277.676,6716074.402,tes
P11,231543.112,277.876,6716075.725,tes
P12,231542.018,278.131,6716076.943,tes
P13,231541.065,278.15,6716078.443,tes
P14,231539.936,278.281,6716080.013,tes
P15,231538.7,278.048,6716081.372,tes
P16,231537.359,277.606,6716082.36,tes
P17,231536.3,277.68,6716083.843,tes
P18,231535.012,277.578,6716085.096,tes
P19,231534.183,277.534,6716086.454,tes
P20,231532.905,277.906,6716087.993,tes
P21,231531.651,277.737,6716089.525,tes
P22,231530.684,277.869,6716090.821,tes
P23,231529.459,278.053,6716092.126,tes
P25,231527.573,278.194,6716095.163,tes
P26,231526.561,278.193,6716096.72,tes
P27,231526.597,278.465,6716098.545,tes
P28,231526.203,278.534,6716100.435,tes
P29,231525.547,278.661,6716102.148,tes
P30,231524.787,278.721,6716103.471,tes
P32,231523.472,279.186,6716106.861,tes
P35,231522.52,279.235,6716112.087,tes
P36,231522.442,279.449,6716113.884,tes
P37,231522.256,279.573,6716115.565,tes
O1,231559.423,277.07,6716071.406,tes
O2,231557.711,277.143,6716071.265,tes
O3,231555.917,277.449,6716071.282,tes
O4,231554.487,277.617,6716071.307,tes
O5,231552.722,277.548,6716071.534,tes
O6,231551.565,277.553,6716072.245,tes
O7,231549.818,277.713,6716072.736,tes
O8,231548.299,277.724,6716073.876,tes
O9,231545.664,278.099,6716075.28,tes
O10,231543.967,278.401,6716076.487,tes
O11,231543.228,278.586,6716077.841,tes
O12,231542.012,278.641,6716079.272,tes
O13,231540.904,278.862,6716080.46,tes
O14,231539.52,278.719,6716081.968,tes
O15,231538.572,278.902,6716083.203,tes
O16,231537.33,279.163,6716084.512,tes
O17,231536.224,279.285,6716086.094,tes
O18,231535.011,279.384,6716087.324,tes
O19,231534.116,279.436,6716088.911,tes
O20,231533.041,279.426,6716090.333,tes
O21,231531.516,279.537,6716091.378,tes
O22,231530.543,279.897,6716092.68,tes
O23,231529.078,279.84,6716093.929,tes
O24,231528.396,279.886,6716095.407,tes
O25,231527.759,280.002,6716097.233,tes
O26,231527.067,279.944,6716098.756,tes
O27,231526.82,280.066,6716100.488,tes
O31,231525.007,280.487,6716107.404,tes
O33,231524.972,280.632,6716110.472,tes
P24,231528.345,277.792,6716093.462,tes
N1,231559.086,279.267,6716072.296,tes
N2,231557.748,279.206,6716071.883,tes
N3,231555.791,279.202,6716071.922,tes
N4,231554.504,279.43,6716072.121,tes
N5,231552.565,279.451,6716072.823,tes
N6,231550.455,279.431,6716073.901,tes
N7,231548.987,279.591,6716075.026,tes
N8,231546.393,279.694,6716076.297,tes
N9,231544.081,279.638,6716078.147,tes
N10,231542.592,280.014,6716079.523,tes
N11,231540.823,280.27,6716081.678,tes
N12,231529.028,281.775,6716097.59,tes
N13,231528.162,281.829,6716098.994,tes
N14,231527.254,281.856,6716101.009,tes
N15,231527.124,281.92,6716102.564,tes
N16,231526.963,282.201,6716104.363,tes
N18,231526.602,282.247,6716107.842,tes
N19,231526.403,282.537,6716109.634,tes
N20,231526.115,282.546,6716111.062,tes
N21,231526.35,282.973,6716113.17,tes
N22,231526.043,282.909,6716114.763,tes
N24,231525.329,283.1,6716117.722,tes
N25,231525.559,283.238,6716119.512,tes
N26,231524.993,283.339,6716121.346,tes
N27,231524.87,283.431,6716122.684,tes
N28,231524.024,283.653,6716126.092,tes
M1,231559.496,280.802,6716072.771,tes
M2,231557.913,280.857,6716072.374,tes
M3,231555.885,281.026,6716072.85,tes
M4,231554.466,281.244,6716073.401,tes
M5,231552.86,281.711,6716074.383,tes
M6,231551.645,281.608,6716075.477,tes
M7,231550.575,281.936,6716076.643,tes
M8,231548.491,282.121,6716078.642,tes
M9,231546.801,282.626,6716080.298,tes
M10,231545.451,282.667,6716081.466,tes
M11,231543.517,282.697,6716082.744,tes
M13,231540.874,282.684,6716084.96,tes
M14,231539.603,282.84,6716086.1,tes
M15,231538.145,282.664,6716087.375,tes
M16,231537.292,282.997,6716088.562,tes
M17,231536.031,283.052,6716090.03,tes
M18,231535.053,283.099,6716091.528,tes
M19,231533.932,283.232,6716092.886,tes
M20,231532.731,283.196,6716094.475,tes
M21,231531.534,283.458,6716095.716,tes
M22,231531.268,283.571,6716096.733,tes
M23,231530.55,283.757,6716098.704,tes
M24,231530.132,283.978,6716099.9,tes
M25,231530.094,283.849,6716101.817,tes
M26,231530.084,283.85,6716103.733,tes
M27,231530.484,284.013,6716105.427,tes
M28,231530.648,283.928,6716107.211,tes
M29,231530.852,284.027,6716108.742,tes
M30,231530.548,283.838,6716110.783,tes
M31,231530.61,283.897,6716111.938,tes
M32,231530.13,283.867,6716113.885,tes
M33,231530.215,284.158,6716115.531,tes
M34,231530.176,284.268,6716116.826,tes
M35,231530.096,284.525,6716118.743,tes
M36,231529.53,284.558,6716120.436,tes
M37,231529.078,284.512,6716121.681,tes
M38,231528.781,284.739,6716123.249,tes
M40,231527.902,285.099,6716126.829,tes
M41,231527.573,285.084,6716128.405,tes
M12,231542.309,281.692,6716083.694,tes
L1,231559.322,282.832,6716073.274,tes
L2,231557.713,282.791,6716073.428,tes
L3,231556.077,282.806,6716073.955,tes
L4,231554.535,283.079,6716074.394,tes
L5,231552.904,283.126,6716074.928,tes
L6,231551.865,283.487,6716076.239,tes
L7,231550.736,283.848,6716077.301,tes
L8,231548.621,283.797,6716079.284,tes
L9,231548.032,284.011,6716080.106,tes
L10,231546.987,284.345,6716081.035,tes
L11,231545.57,284.335,6716082.08,tes
L12,231544.026,284.368,6716083.306,tes
L13,231542.829,284.547,6716084.461,tes
L14,231541.261,284.342,6716085.381,tes
L15,231540.051,284.438,6716086.454,tes
L16,231538.703,284.43,6716087.681,tes
L17,231537.701,284.765,6716088.845,tes
L18,231536.883,284.858,6716090.591,tes
L19,231535.532,284.815,6716091.709,tes
L20,231533.998,285.015,6716093.114,tes
L21,231533.116,285.086,6716094.473,tes
L22,231532.014,285.127,6716095.749,tes
L24,231531.13,285.248,6716098.932,tes
L25,231530.673,285.034,6716100.387,tes
L26,231530.674,285.346,6716101.988,tes
K1,231559.261,285.001,6716074.933,tes
K2,231557.854,284.952,6716075.339,tes
K3,231556.164,284.785,6716075.319,tes
K4,231554.547,284.909,6716075.279,tes
K5,231553.394,285.346,6716076.167,tes
K6,231552.435,285.144,6716076.856,tes
K7,231551.432,285.46,6716078.043,tes
K8,231549.727,285.666,6716079.81,tes
K9,231548.931,285.687,6716080.806,tes
K10,231547.992,285.506,6716081.667,tes
K11,231546.907,285.579,6716083.202,tes
K12,231546.043,285.68,6716084.811,tes
K13,231545.164,285.773,6716086.369,tes
K15,231543.354,285.937,6716089.027,tes
K17,231541.544,286.111,6716091.345,tes
K18,231539.693,286.11,6716093.066,tes
K19,231538.879,286.427,6716094.326,tes
K20,231538.15,286.599,6716096.114,tes
K21,231536.789,286.263,6716097.221,tes
K22,231536.171,286.569,6716098.399,tes
K23,231535.074,286.658,6716099.577,tes
K24,231534.698,286.711,6716100.918,tes
K25,231533.725,286.724,6716102.511,tes
K26,231533.265,286.758,6716103.766,tes
K27,231532.81,286.701,6716104.94,tes
K29,231532.254,285.606,6716108.062,tes
K30,231532.346,285.559,6716109.763,tes
K31,231532.593,285.717,6716111.276,tes
K32,231532.074,285.686,6716112.496,tes
K33,231531.352,285.668,6716114.221,tes
K34,231530.783,285.854,6716115.531,tes
K35,231530.724,286.176,6716117.161,tes
K36,231530.207,286.261,6716118.968,tes
K37,231529.683,286.305,6716120.359,tes
K38,231529.579,285.998,6716122.073,tes
K39,231529.471,286.364,6716125.313,tes
K40,231529.63,286.909,6716126.875,tes
K41,231529.378,286.649,6716128.405,tes
J1,231559.401,286.615,6716075.894,tes
J2,231558.075,286.5,6716075.97,tes
J3,231556.282,286.523,6716075.872,tes
K14,231543.899,286.374,6716087.817,tes
K16,231542.322,285.921,6716090.292,tes
K42,231529.514,286.142,6716130.65,tes
J4,231554.798,286.399,6716075.992,tes
J5,231553.782,286.807,6716076.951,tes
J6,231552.824,286.715,6716077.277,tes
J7,231551.815,287.334,6716078.508,tes
J8,231550.359,287.145,6716080.282,tes
J9,231549.453,287.759,6716081.397,tes
R1,231548.931,288.395,6716082.399,tes
R2,231547.798,288.488,6716084.141,tes
R3,231546.631,288.907,6716085.738,tes
R4,231545.841,288.692,6716086.878,tes
R5,231544.465,288.67,6716088.206,tes
R6,231543.711,288.833,6716089.39,tes
R7,231542.823,288.745,6716090.358,tes
R10,231539.767,289.302,6716094.828,tes
R14,231536.406,289.604,6716100.242,tes
R15,231535.389,289.599,6716101.537,tes
R16,231534.661,289.623,6716102.934,tes
R17,231534.256,289.742,6716104.096,tes
R13,231536.901,289.537,6716098.81,tes
R19,231533.491,289.932,6716106.626,tes
R20,231533.354,289.467,6716108.068,tes
R21,231533.036,289.169,6716109.973,tes
R22,231532.877,289.502,6716111.069,tes
R23,231532.311,289.616,6716112.372,tes
R24,231532.13,289.835,6716114.328,tes
R25,231532.404,289.749,6716115.974,tes
R26,231532.286,290.059,6716117.617,tes
R27,231531.981,290.136,6716119.126,tes
R28,231531.816,290.004,6716120.755,tes
R29,231531.756,290.038,6716122.334,tes
R30,231531.747,290.258,6716124.309,tes
R31,231531.691,290.313,6716126.917,tes
R32,231532.273,290.354,6716128.861,tes
R35,231532.57,289.959,6716134.213,tes
R36,231532.641,290.302,6716135.776,tes
M39,231528.319,284.717,6716124.981,tes
Q1,231545.614,280.906,6716079.579,tes
Q2,231544.465,280.94,6716081.066,tes
Q3,231542.981,280.92,6716082.324,tes
Q4,231541.41,280.905,6716083.144,tes
Q5,231539.944,280.943,6716084.295,tes
Q6,231538.579,280.955,6716085.385,tes
Q7,231537.661,281.166,6716087.008,tes
Q8,231536.841,281.355,6716088.336,tes
Q9,231535.44,281.505,6716089.711,tes
Q10,231534.343,281.727,6716091.082,tes
Q11,231533.407,281.653,6716092.363,tes
Q12,231532.471,281.694,6716094.087,tes
Q13,231531.343,281.961,6716095.359,tes
Q14,231530.814,282.139,6716096.482,tes
Q15,231529.915,282.394,6716098.266,tes
Q16,231529.873,282.664,6716099.804,tes
Q17,231529.052,282.636,6716101.523,tes
Q18,231528.222,282.501,6716103.021,tes
N17,231526.631,282.295,6716106.06,tes
O37,231524.115,281.472,6716117.672,tes
J10,231548.308,287.225,6716082.066,tes
J11,231547.403,287.396,6716083.496,tes
J12,231546.34,287.492,6716085.43,tes
J13,231545.446,287.337,6716086.744,tes
J14,231544.312,287.496,6716088.149,tes
J15,231543.664,287.809,6716089.329,tes
J16,231542.725,287.945,6716090.397,tes
J17,231541.466,287.904,6716091.853,tes
J19,231539.368,288.259,6716094.896,tes
J18,231540.588,288.064,6716093.679,tes
J20,231538.815,288.589,6716096.425,tes
J21,231537.546,288.716,6716097.431,tes
J22,231536.813,288.537,6716098.665,tes
J23,231535.967,288.441,6716100.111,tes
J24,231535.169,288.345,6716101.243,tes
J25,231534.204,288.401,6716102.674,tes
J26,231533.973,288.67,6716103.968,tes
J27,231533.518,288.738,6716105.188,tes
J29,231533.319,287.581,6716108.358,tes
J30,231533.068,287.559,6716109.673,tes
J31,231532.817,287.555,6716111.31,tes
J32,231532.231,287.528,6716112.656,tes
J33,231531.772,287.673,6716114.244,tes
J34,231531.756,288.181,6716116.144,tes
J35,231531.433,287.845,6716117.426,tes
J36,231531.096,288.069,6716118.939,tes
J37,231530.738,288.255,6716120.496,tes
J38,231530.495,288.485,6716122.434,tes
J28,231533.014,288.02,6716106.319,tes
J39,231530.55,288.443,6716124.293,tes
J40,231530.625,288.444,6716126.797,tes
J41,231530.965,288.576,6716128.695,tes
J42,231531.319,288.281,6716130.488,tes
J41,231531.176,288.275,6716132.307,tes
J43,231531.42,288.503,6716134.101,tes
J44,231531.397,288.866,6716135.919,tes
J45,231531.716,289.048,6716137.49,tes
J46,231531.649,289.269,6716139.187,tes
J47,231532.014,289.562,6716141.062,tes
K44,231529.596,287.099,6716134.623,tes
K45,231529.783,287.262,6716135.835,tes
K46,231529.852,287.288,6716137.556,tes
K47,231529.888,287.397,6716139.279,tes
K49,231530.225,287.821,6716142.682,tes
R33,231532.603,290.22,6716130.568,tes
point537,231528.432,286.086,6716141.775,tes
point538,231528.078,285.803,6716140.182,tes
O30,231524.97,280.279,6716105.632,tes
O29,231525.333,280.081,6716103.786,tes
O35,231524.155,280.999,6716114.161,tes
O34,231524.578,280.841,6716112.313,tes
O36,231524.343,281.029,6716115.971,tes
O42,231522.707,281.962,6716126.454,tes
O41,231523.126,281.804,6716124.38,tes
K28,231532.593,286.202,6716106.492,tes
R8,231541.629,288.862,6716091.728,tes
R9,231541.13,289.37,6716093.234,tes
N23,231525.637,282.897,6716116.092,tes
P34,231522.582,279.123,6716110.33,tes
P33,231522.422,279.576,6716108.86,tes
L23,231531.593,285.213,6716097.339,tes
R18,231533.693,290.012,6716105.077,tes
P31,231523.901,279.136,6716105.434,tes
